Time (s),W,X,Y,Z
6.201454639,-0.03445968,0.8594552,0.5065827,0.01228477
6.221467495,-0.02698925,0.8592259,0.505658,0.0440442
6.241479874,-0.03131782,0.8610955,0.5005906,0.05975307
6.261492252,-0.03636717,0.8618315,0.4994152,0.05600064
6.281505585,-0.03590145,0.8618908,0.4994171,0.05536749
6.301517963,-0.03560572,0.8620531,0.4993134,0.05394894
6.321531296,-0.03628961,0.8621251,0.4990507,0.05476831
6.341543675,-0.04125674,0.8619007,0.4995614,0.04991189
6.361556530,-0.03776461,0.8611957,0.5014104,0.04616527
6.381569386,-0.03917544,0.8602293,0.5030658,0.04497925
6.401582241,-0.04125874,0.8590464,0.505082,0.04309221
6.421594620,-0.04193824,0.8580386,0.5068341,0.04192687
6.441607952,-0.03852631,0.8571112,0.5088153,0.04013552
6.461620331,-0.03662784,0.8563361,0.5102413,0.04035241
6.481633663,-0.03600689,0.8556312,0.5114444,0.04063422
6.501646042,-0.03711176,0.8548905,0.5126567,0.03995001
6.521658897,-0.03860412,0.8543164,0.5135785,0.03896154
6.541671753,-0.03809464,0.8537665,0.5144829,0.03958163
6.561684608,-0.03872909,0.8533496,0.515296,0.03731227
6.581696987,-0.03636657,0.8529618,0.5162315,0.03558598
6.601710319,-0.03789386,0.8524593,0.5169161,0.03609325
6.621722698,-0.04015147,0.8520148,0.5174499,0.03649331
6.641736030,-0.04175525,0.8515896,0.5180179,0.03656034
6.661748409,-0.04414218,0.8510463,0.5185307,0.03905236
6.681761265,-0.04108784,0.8507276,0.5194954,0.03641844
6.701774120,-0.03216763,0.850619,0.5203323,0.03598138
6.721786976,-0.03746964,0.8500696,0.5210194,0.03382455
6.741799354,-0.03716049,0.8497497,0.5214897,0.03493916
6.761812687,-0.04188918,0.8492878,0.5217732,0.03655238
6.781825066,-0.04535728,0.848877,0.5221329,0.03681885
6.801837444,-0.04466426,0.8486554,0.5225116,0.03739561
6.821850777,-0.04068185,0.8485835,0.5230642,0.03581144
6.841863155,-0.04036152,0.8483088,0.5235896,0.03499558
6.861876488,-0.03571097,0.8481354,0.5242276,0.03470138
6.881888866,-0.03602696,0.847746,0.5249175,0.03343967
6.901901722,-0.03847031,0.8472286,0.5254118,0.0359702
6.921914101,-0.04077639,0.8468074,0.5258534,0.03688357
6.941927433,-0.04120042,0.8464756,0.5265467,0.03402764
6.961939812,-0.04125243,0.8459541,0.5273005,0.03524108
6.981953144,-0.04070019,0.8455167,0.5280148,0.03567955
7.001965523,-0.04213639,0.8450254,0.528686,0.03571232
7.021978378,-0.04217255,0.844659,0.5291672,0.03717846
7.041991234,-0.04216108,0.8443482,0.529773,0.03559215
7.062004089,-0.04268374,0.8438506,0.5304499,0.03667282
7.079515457,-0.04316726,0.8434645,0.5310701,0.03600449
7.099527836,-0.0385582,0.8432871,0.5319064,0.03291385
7.119540691,-0.04007224,0.8423855,0.5329316,0.03731662
7.139553547,-0.03584873,0.842068,0.5338594,0.03546938
7.159566402,-0.03389357,0.8416167,0.534871,0.03276026
7.179578781,-0.03292369,0.8410765,0.5357625,0.03305085
7.199592114,-0.03367518,0.8404639,0.53662,0.03395384
7.219604492,-0.03369788,0.8398951,0.5374938,0.03418573
7.239617825,-0.03315477,0.8394786,0.5383359,0.03159969
7.259630203,-0.03265909,0.8390307,0.5390863,0.03121687
7.279643059,-0.03547198,0.83831,0.5397911,0.03508862
7.299655914,-0.03772451,0.8377064,0.5404914,0.03635064
7.319668770,-0.03889895,0.8372237,0.5413091,0.03399426
7.339681149,-0.04154138,0.8364481,0.5420406,0.03806098
7.359694481,-0.04149447,0.835923,0.5429186,0.03712546
7.379706860,-0.04238297,0.8351009,0.543924,0.0398064
7.399720192,-0.04044172,0.8345848,0.5448099,0.04052816
7.419732571,-0.04005486,0.8340914,0.5457383,0.03852914
7.439745426,-0.03929961,0.8335043,0.5467415,0.03778298
7.459758282,-0.03618204,0.8331198,0.5476998,0.03542268
7.479771137,-0.03410229,0.832871,0.5484492,0.03153275
7.499783516,-0.0395643,0.832067,0.5491464,0.03413447
7.519796848,-0.03954196,0.8315079,0.5496042,0.03992597
7.539809227,-0.03038166,0.8318468,0.5502443,0.03109128
7.559822559,-0.03546298,0.8310925,0.5511426,0.02995506
7.579834938,-0.04186914,0.8302466,0.5514948,0.0376653
7.599847793,-0.03874282,0.8301542,0.551972,0.03602121
7.619860649,-0.03805446,0.829971,0.5526201,0.03063979
7.639873505,-0.03339082,0.8295307,0.5534643,0.03269315
7.659885883,-0.03494895,0.8290352,0.5539551,0.03522412
7.679899216,-0.03722665,0.828791,0.5544085,0.0312834
7.699911594,-0.03664326,0.8283628,0.5551002,0.03104472
7.719924927,-0.03865073,0.8275267,0.5559159,0.03592664
7.739937305,-0.03448762,0.8272094,0.5568662,0.03260316
7.759950161,-0.03455673,0.8265869,0.5577397,0.03337983
7.779962540,-0.03630526,0.825828,0.5586647,0.03480406
7.799975872,-0.03296873,0.8253942,0.5596315,0.03283163
7.819988251,-0.03334002,0.8247575,0.5606039,0.03184888
7.840001583,-0.03384474,0.824073,0.5615212,0.03285973
7.860013962,-0.03009605,0.8236405,0.5624985,0.03055845
7.880026340,-0.02848228,0.8230931,0.5634544,0.0292111
7.900039673,-0.03003157,0.8224501,0.564162,0.03198365
7.920052052,-0.03068095,0.8218594,0.5649499,0.03263507
7.940064907,-0.02926358,0.8214531,0.5656081,0.03276571
7.960077763,-0.03137535,0.8207753,0.5663227,0.03535101
7.980090618,-0.02798752,0.8205035,0.5669465,0.03449818
8.000102997,-0.02577294,0.8202572,0.5675433,0.03218742
8.020116329,-0.02438428,0.8199269,0.5679969,0.03365448
8.040128708,-0.02426949,0.8197024,0.5684306,0.03183109
8.060142040,-0.0226996,0.8196183,0.5686522,0.03119291
8.080154419,-0.02197304,0.8194295,0.5690075,0.03018067
8.100167274,-0.01911949,0.8195092,0.5690891,0.02836058
8.120180130,-0.01974426,0.8193665,0.5691194,0.03129597
8.140192986,-0.0205365,0.8193401,0.5690666,0.03241913
8.160205364,-0.02024376,0.8192998,0.5690625,0.03366731
8.180218697,-0.02010231,0.8192487,0.5690495,0.03518191
8.200231075,-0.01997283,0.8193798,0.5688769,0.03499224
8.220244408,-0.0192385,0.8194668,0.5687448,0.03551197
8.240256786,-0.01753221,0.8196701,0.5686058,0.03389172
8.260269642,-0.01629831,0.8198181,0.5684453,0.03361787
8.280282497,-0.01598903,0.8199541,0.5682676,0.0334546
8.300295353,-0.01500816,0.8201747,0.567984,0.03331651
8.320307732,-0.01449101,0.8203674,0.5676038,0.03522668
8.340321064,-0.01382743,0.8206252,0.567273,0.03481318
8.360333443,-0.01216367,0.8209215,0.5668301,0.03565614
8.380346775,-0.01128074,0.8212756,0.5662932,0.03631489
