Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
5.060726166,20.00574,-4.226891,2.377501,0.2453998,-0.209079,0.9013449,-10.27796,28.9338,11.02838,882.2722
5.080738544,-43.95778,0.1434914,-1.035935,-0.43902,-0.1617223,0.5851728,-12.06151,28.65951,11.01171,882.2722
5.100751877,58.23611,-8.95163,-0.6092554,-0.01259395,-0.1901727,0.8272928,-12.06151,28.65951,11.01171,882.2722
5.120764256,70.97955,5.931295,0.0002867747,-0.1445188,-0.2928724,0.8675935,-13.19017,30.08207,12.24943,882.2722
5.140777588,29.54794,-1.982641,1.097463,0.0148107,-0.2278386,1.241092,-13.19017,30.08207,12.24943,882.2722
5.160789967,8.555099,0.1434914,0.1221952,-0.0457539,-0.3656773,0.8899937,-13.19017,30.08207,12.24943,882.2722
5.180802822,6.646659,-3.163825,0.1221952,0.001803475,-0.2087145,1.066324,-13.19363,30.44926,12.25038,882.2722
5.200815201,20.0673,-14.38508,-0.7311638,-0.02804608,-0.2720276,0.7265638,-13.19363,30.44926,12.25038,882.2755
5.220828533,37.48952,4.277637,0.3660121,-0.02685334,-0.1925768,0.9016295,-11.7144,30.79323,11.45594,882.2755
5.240840912,33.30326,-12.9086,0.0002867747,-0.0411627,-0.1983205,1.020868,-11.7144,30.79323,11.45594,882.2737
5.260854244,32.62607,-0.8014562,-0.06066744,0.01976435,-0.161387,1.136821,-11.38984,30.42988,8.969924,882.2737
5.280866623,17.78949,0.556906,0.9146,0.008530512,-0.1959215,1.155343,-11.38984,30.42988,8.969924,882.2737
5.300879955,1.66009,-4.285951,0.2441037,0.01648032,-0.1004032,0.9759564,-11.38984,30.42988,8.969924,882.2737
5.320892334,-5.173357,3.982341,0.1221952,-0.03419385,-0.1139681,0.8524977,-11.01827,30.42471,8.600038,882.277
5.340905190,23.45325,-9.896577,0.4879205,0.02767729,-0.2600813,0.7137862,-11.01827,30.42471,8.600038,882.277
5.360917568,35.2117,-15.38909,-1.096889,-0.05310192,-0.1020269,1.128881,-11.0048,29.69499,7.354226,882.277
5.380930901,0.7982139,-8.479156,-0.3654385,0.05432818,-0.1265729,1.229005,-11.0048,29.69499,7.354226,882.277
5.400943279,-5.604295,-6.707379,-0.3044843,0.08764229,-0.1512409,1.180106,-11.0048,29.69499,7.354226,882.277
5.420955658,-6.835546,-3.931595,-0.8530722,-0.07387249,-0.1165055,0.9301388,-11.67704,30.08046,5.669902,882.277
5.440968990,13.29542,-3.813477,0.06124099,-0.08791441,-0.06528227,0.7807555,-11.67704,30.08046,5.669902,882.277
5.460981369,5.353845,-8.479156,-0.2435301,-0.006457839,-0.08115005,0.9335329,-12.04548,29.71821,6.101027,882.277
5.480994701,-15.02337,-11.55023,-0.3654385,0.022693,-0.1555415,1.135912,-12.04548,29.71821,6.101027,882.2787
5.501007080,-5.542732,0.4978468,0.1221952,0.03411691,-0.1741397,0.9942402,-12.04548,29.71821,6.101027,882.2787
5.521019935,-4.865544,-11.90459,-0.06066744,0.008324773,-0.1511109,0.8822711,-12.7847,29.73132,6.09446,882.2772
5.541032791,-32.99964,-52.77357,-0.6702096,0.5458805,-0.3470386,1.50693,-12.7847,29.73132,6.09446,882.2772
5.561045647,-11.45274,5.281644,-0.06066744,0.1042651,-0.3327916,0.8916832,-12.78816,30.09851,6.095417,882.2772
5.581058025,-24.99651,7.821191,0.1221952,-0.03256267,-0.04998921,1.081545,-12.78816,30.09851,6.095417,882.2772
5.601071358,-10.40618,27.01544,0.3660121,-0.01427528,-0.1185728,0.9583215,-12.78816,30.09851,6.095417,882.2772
5.621083736,53.92672,56.89941,0.6707832,-0.1965794,0.3587499,1.441459,-11.37211,29.70317,6.915579,882.2805
5.641097069,-27.45901,28.90533,9.14342,-0.0008758609,0.3492934,0.8627149,-11.37211,29.70317,6.915579,882.2805
5.661109447,54.66548,32.50795,1.950822,-0.05869301,0.1430225,1.965231,-13.17937,30.08974,10.197,882.2805
5.681122303,48.2014,39.536,5.54712,-0.005155549,-0.1328903,1.110411,-13.17937,30.08974,10.197,882.2805
5.701134682,37.79733,22.52694,1.524142,-0.06927716,-0.2239888,0.8408526,-13.17937,30.08974,10.197,882.2805
5.721148014,38.04358,21.70011,-0.5483012,-0.09400588,-0.09271839,0.9930801,-17.19635,30.47646,23.65922,882.2805
5.741160393,48.01672,14.31771,2.316547,-0.1006743,-0.1478113,0.8848694,-17.19635,30.47646,23.65922,882.282
5.761173725,39.89046,11.83722,2.865135,-0.1051727,-0.09820614,0.933578,-4.62747,30.93274,22.15553,882.282
5.781186104,49.55578,4.572933,3.352769,-0.05635548,-0.2052386,0.6453856,-4.62747,30.93274,22.15553,882.2803
5.801198482,38.65921,-2.750411,2.316547,-0.1887598,-0.07243542,0.9229118,-4.62747,30.93274,22.15553,882.2803
5.821211815,38.47452,7.053421,0.3050579,-0.03771488,-0.05028026,0.8911806,2.320967,28.05605,6.224854,882.2803
5.841224194,41.12171,13.07746,0.6098289,-0.08263177,0.01989296,1.214347,2.320967,28.05605,6.224854,882.2803
5.861237049,-2.033665,41.01247,3.291814,-0.005097653,-0.07276602,1.017668,-0.8017818,23.48788,-0.7815428,882.2785
5.881249905,69.87143,27.96039,-0.5483012,-0.08535478,-0.08618902,1.112972,-0.8017818,23.48788,-0.7815428,882.2785
